run_accession	fastq_ftp	fastq_bytes	read_count
ERR2000709	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000709/ERR2000709.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000709/ERR2000709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000709/ERR2000709_2.fastq.gz	5564025804;927583942;976930624	182116983
ERR2000713	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000713/ERR2000713.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000713/ERR2000713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000713/ERR2000713_2.fastq.gz	5953333471;979029554;1031819727	194577975
ERR2000716	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000716/ERR2000716.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000716/ERR2000716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000716/ERR2000716_2.fastq.gz	8929694900;1153229089;1167964513	217971984
ERR2000717	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000717/ERR2000717.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000717/ERR2000717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000717/ERR2000717_2.fastq.gz	8807210329;1139107088;1160192120	217456905
ERR2000719	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000719/ERR2000719.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000719/ERR2000719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000719/ERR2000719_2.fastq.gz	756154560;110844875;110706378	22168683
ERR2000720	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000720/ERR2000720.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000720/ERR2000720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000720/ERR2000720_2.fastq.gz	8838022376;1145822897;1167158756	218557590
ERR2000722	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000722/ERR2000722.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000722/ERR2000722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000722/ERR2000722_2.fastq.gz	8836510529;1139920384;1167026046	218321287
ERR2000731	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000731/ERR2000731.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000731/ERR2000731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000731/ERR2000731_2.fastq.gz	3229728585;666119001;675366547	85469471
ERR2000734	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000734/ERR2000734.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000734/ERR2000734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000734/ERR2000734_2.fastq.gz	4047090136;801813588;814523489	106003385
ERR2000735	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000735/ERR2000735.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000735/ERR2000735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/005/ERR2000735/ERR2000735_2.fastq.gz	2737710123;568871363;574036719	73835247
ERR2000737	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000737/ERR2000737.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000737/ERR2000737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000737/ERR2000737_2.fastq.gz	2945253204;604033622;607072312	79236368
ERR2000741	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000741/ERR2000741.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000741/ERR2000741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000741/ERR2000741_2.fastq.gz	5780296612;1028777470;1069903736	188382558
ERR2000744	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000744/ERR2000744.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000744/ERR2000744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000744/ERR2000744_2.fastq.gz	5778572809;1024976088;1059347456	186154240
ERR2000746	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000746/ERR2000746.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000746/ERR2000746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000746/ERR2000746_2.fastq.gz	5658864867;994722916;1037002207	184948799
ERR2000750	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000750/ERR2000750.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000750/ERR2000750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000750/ERR2000750_2.fastq.gz	6592185885;1660958344;1245322210	220717618
ERR2000752	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000752/ERR2000752.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000752/ERR2000752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000752/ERR2000752_2.fastq.gz	7092588232;1290728908;1335390909	230866821
ERR2000753	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000753/ERR2000753.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000753/ERR2000753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000753/ERR2000753_2.fastq.gz	6959509241;1251941202;1297346844	227321136
ERR2000756	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000756/ERR2000756.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000756/ERR2000756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000756/ERR2000756_2.fastq.gz	6163168239;1080462828;1129950566	204406506
ERR2000759	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000759/ERR2000759.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000759/ERR2000759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/009/ERR2000759/ERR2000759_2.fastq.gz	6086016316;1063579588;1104194058	203348062
ERR2000761	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000761/ERR2000761.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000761/ERR2000761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/001/ERR2000761/ERR2000761_2.fastq.gz	6129947172;1065502989;1114137585	203412031
ERR2000763	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000763/ERR2000763.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000763/ERR2000763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/003/ERR2000763/ERR2000763_2.fastq.gz	5745347199;1178624361;1255511243	181446351
ERR2000764	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000764/ERR2000764.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000764/ERR2000764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/004/ERR2000764/ERR2000764_2.fastq.gz	5768786237;1059239245;1109784652	184583448
ERR2000766	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000766/ERR2000766.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000766/ERR2000766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/006/ERR2000766/ERR2000766_2.fastq.gz	5800509868;1060519448;1102190771	183890474
ERR2000770	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000770/ERR2000770.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000770/ERR2000770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000770/ERR2000770_2.fastq.gz	5782198232;1078502388;1130039466	185932279
ERR2000772	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000772/ERR2000772.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000772/ERR2000772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000772/ERR2000772_2.fastq.gz	7636431698;1402771777;1467279271	234899897
ERR2000777	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000777/ERR2000777.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000777/ERR2000777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000777/ERR2000777_2.fastq.gz	7777302876;1384239740;1454320041	233222697
ERR2000778	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000778/ERR2000778.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000778/ERR2000778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000778/ERR2000778_2.fastq.gz	7734288256;1582539617;1612032730	234806636
ERR2000780	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000780/ERR2000780.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000780/ERR2000780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/000/ERR2000780/ERR2000780_2.fastq.gz	6795607593;1317388445;1324225107	218783434
ERR2000792	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000792/ERR2000792.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000792/ERR2000792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/002/ERR2000792/ERR2000792_2.fastq.gz	5761058596;949198068;1004909504	151258802
ERR2000797	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000797/ERR2000797.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000797/ERR2000797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/007/ERR2000797/ERR2000797_2.fastq.gz	4028157300;694359347;711596229	135288635
ERR2000798	ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000798/ERR2000798.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000798/ERR2000798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR200/008/ERR2000798/ERR2000798_2.fastq.gz	3926800394;669412184;681786481	132677883
